2023,GALOPIN DES CHAMPS (FR),P. Townend,"W. P. Mullins, Ireland",BRAVEMANSGAME (FR),Harry Cobden,Paul Nicholls,CONFLATED (IRE),Sam Ewing,"Gordon Elliott, Ireland",1,gold cup
2022,A PLUS TARD (FR),Rachael Blackmore,"Henry de Bromhead, Ireland",MINELLA INDO (IRE),Robbie Power,"Henry de Bromhead, Ireland",PROTEKTORAT (FR),Harry Skelton,Dan Skelton,2,gold cup
2021,MINELLA INDO (IRE),J. W. Kennedy,"Henry de Bromhead, Ireland",A PLUS TARD (FR),Rachael Blackmore,"Henry de Bromhead, Ireland",AL BOUM PHOTO (FR),P. Townend,"W. P. Mullins, Ireland",3,gold cup
2020,AL BOUM PHOTO (FR),P. Townend,"W. P. Mullins, Ireland",SANTINI,Nico de Boinville,Nicky Henderson,LOSTINTRANSLATION (IRE),Robbie Power,Colin Tizzard,4,gold cup
2019,AL BOUM PHOTO (FR),P. Townend,"W. P. Mullins, Ireland",ANIBALE FLY (FR),Barry Geraghty,"A. J. Martin, Ireland",BRISTOL DE MAI (FR),Daryl Jacob,Nigel Twiston-Davies,5,gold cup
2018,NATIVE RIVER (IRE),Richard Johnson,Colin Tizzard,MIGHT BITE (IRE),Nico de Boinville,Nicky Henderson,ANIBALE FLY (FR),Barry Geraghty,"A. J. Martin, Ireland",6,gold cup
2017,SIZING JOHN,Robbie Power,"Mrs J. Harrington, Ireland",MINELLA ROCCO (IRE),Noel Fehily,Jonjo O Neill,NATIVE RIVER (IRE),Richard Johnson,Colin Tizzard,7,gold cup
2016,DON COSSACK (GER),B. J. Cooper,"Gordon Elliott, Ireland",DJAKADAM (FR),R. Walsh,"W. P. Mullins, Ireland",DON POLI (IRE),Davy Russell,"W. P. Mullins, Ireland",8,gold cup
2015,CONEYGREE,Nico de Boinville,Mark Bradstock,DJAKADAM (FR),R. Walsh,"W. P. Mullins, Ireland",ROAD TO RICHES (IRE),B. J. Cooper,"Noel Meade, Ireland",9,gold cup
2014,LORD WINDERMERE (IRE),Davy Russell,"J. Culloty, Ireland",ON HIS OWN (IRE),D. J. Casey,"W. P. Mullins, Ireland",THE GIANT BOLSTER,Tom Scudamore,David Bridgwater,10,gold cup
2013,BOBS WORTH (IRE),Barry Geraghty,Nicky Henderson,SIR DES CHAMPS (FR),A. P. McCoy,"W. P. Mullins, Ireland",LONG RUN (FR),Mr Sam Waley-Cohen,Nicky Henderson,11,gold cup
2012,SYNCHRONISED (IRE),A. P. McCoy,Jonjo O Neill,THE GIANT BOLSTER,Tom Scudamore,David Bridgwater,LONG RUN (FR),Mr Sam Waley-Cohen,Nicky Henderson,12,gold cup
2011,LONG RUN (FR),Mr Sam Waley-Cohen,Nicky Henderson,DENMAN (IRE),Sam Thomas,Paul Nicholls,KAUTO STAR (FR),R. Walsh,Paul Nicholls,13,gold cup
2010,IMPERIAL COMMANDER (IRE),Paddy Brennan,Nigel Twiston-Davies,DENMAN (IRE),A. P. McCoy,Paul Nicholls,MON MOME (FR),Aidan Coleman,Venetia Williams,14,gold cup
